{{{{{{{{{{{{{{{
{{{{{{{{{{{{{{{
{Gènes PPR{Contexte gnetique{{Bacillota{{{{{{{Actinomycetota{{{{
{{{{{{{{{{{{{{{
{{{{Familles (nb){Genres (nb){Gènomes (nb){Top 4 genres{Gènomes (nb){{Familles (nb){Genres (nb){Gènomes (nb){Top 4 genres{Gènomes (nb){
{tet(W){IME_Rho_tet complet{{13{63{192{Faecalibacterium{24{{{{{{{
{{{{{{{Flavonifractor{12{12,50%{0{0{0{-{-{
{{{{{{{Megasphaera{10{6,25%{{{{{{
{{{{{{{Blautia{10{5,21%{{{{{{
{{IME_Rho_tet partiel{{13{35{182{Lactobacillus{83{5,21%{{{{Bifidobacterium{147{
{{{{{{{Limosilactobacillus{24{{{{{Eggerthella{33{
{{{{{{{Ligilactobacillus{7{19,58%{6{21{242{Collinsella{23{
{{{{{{{Flavonifractor{6{5,66%{{{{Slackia{5{
{{Contexte hors IME_Rho_tet{{10{25{43{Flavonifractor{11{1,65%{5{9{132{Bifidobacterium{120{
{{{{{{{Limosilactobacillus{0{1,42%{{{{Collinsella{7{
{{{{{{{Ruthenibacterium{10{{{{{Actinomyces{1{
{{{{{{{Ligilactobacillus{4{{{{{{{
{{Contexte insuffisant{{11{18{42{Limosilactobacillus{11{6,29%{4{5{46{Bifidobacterium{31{
{{{{{{{Ligilactobacillus{6{0,00%{{{{Collinsella{10{
{{{{{{{Lactobacillus{4{5,71%{{{{Actinomyces{3{
{{{{{{{Flavonifractor{3{2,29%{{{{Corynebacterium*{1{
{tet(32){IME_Rho_tet{{9{43{112{Blautia{25{{0{0{0{-{-{
{{{{{{{Sellimonas{12{12,50%{{{{{{
{{{{{{{Hungatella{9{6,82%{{{{{{
{{{{{{{Clostridium{6{4,55%{{{{{{
{{IME_Rho_tet partiel{{5{13{27{Hungatella{6{3,41%{0{0{0{-{-{
{{{{{{{Fusicatenibacter{4{22,32%{{{{{{
{{{{{{{Lactonifactor*{2{10,71%{{{{{{
{{{{{{{Faecalimonas*{2{8,04%{{{{{{
{{Contexte hors IME_Rho_tet{{5{8{15{Thomasclavelia{5{5,36%{0{0{0{-{-{
{{{{{{{Faecalibacillus{4{{{{{{{
{{{{{{{Coprobacillus{5{22,22%{{{{{{
{{{{{{{Clostridium*{1{14,81%{{{{{{
{{Contexte inssufisant{{3{4{5{Faecalibacillus{1{7,41%{0{0{0{{{
{{{{{{{Longibaculum{1{7,41%{{{{{{
{{{{{{{Megamonas{1{{{{{{{
{{{{{{{Thomasclavelia{2{{{{{{{
{Autres gènes PPR{IME_Rho_tet complet{{4{18{24{Blautia{5{33,33%{0{0{0{-{-{
{{{{{{{Merdimonas{2{26,67%{{{{{{
{{{{{{{Lachnoclostridium{2{33,33%{{{{{{
{{{{{{{Thomasclavelia{2{6,67%{{{{{{
{{IME_Rho_tet partiel{{3{3{3{Eubacterium{1{{1{1{2{Adlercreutzia{2{
{{{{{{{Erysipelatoclostridium{1{20,00%{{{{{{
{{{{{{{Anaeromassilibacillus{1{20,00%{{{{{{
{{Contexte hors IME_Rho_tet{{1{1{1{Faecalibaculum{1{20,00%{0{0{0{-{-{
{{{{{{{{{40,00%{{{{{{
{{{{{{{{{{{{{{{
{{{{{{{{{20,83%{{{{{{
{{{{{{{{{8,33%{{{{{{
{{{{{{{{{8,33%{{{{{{
{{{{{{{{{8,33%{{{{{{
{{{{{{{{{{{{{{{
{{{{{{{{{33,33%{{{{{{
{{{{{{{{{33,33%{{{{{{
{{{{{{{{{33,33%{{{{{{
{{{{{{{{{{{{{{{
{{{{{{{{{{{{{{{
{{{{{{{{{{{{{{{
{{{{{{{{{100,00%{{{{{{-
